微博管理员,http://weibo.com/u/1934183965 VM610:5
头条新闻,http://weibo.com/breakingnews VM610:5
NBA,http://weibo.com/nba VM610:5
人民日报,http://weibo.com/rmrb VM610:5
央视新闻,http://weibo.com/cctvxinwen VM610:5
全球美剧电影,http://weibo.com/ustvb VM610:5
生活百事通官网,http://weibo.com/634535094 VM610:5
人民网,http://weibo.com/renminwang VM610:5
让红包飞,http://weibo.com/u/3912522941 VM610:5
时尚生活街官网,http://weibo.com/631123198 VM610:5
新浪财经,http://weibo.com/finance VM610:5
新浪娱乐,http://weibo.com/entpaparazzi VM610:5
新华视点,http://weibo.com/xinhuashidian VM610:5
环球影视娱乐,http://weibo.com/u/2648161933 VM610:5
驾车网官网,http://weibo.com/630128397 VM610:5
微天下,http://weibo.com/weitianxia VM610:5
三联生活周刊,http://weibo.com/lifeweek VM610:5
新周刊,http://weibo.com/neweekly VM610:5
新闻晨报,http://weibo.com/shmorningpost VM610:5
热门搞笑嘻哈网,http://weibo.com/630656234 VM610:5
财经网,http://weibo.com/caijing VM610:5
新浪科技,http://weibo.com/sinatech VM610:5
每日经济新闻,http://weibo.com/mrjjxw VM610:5
奇事奇闻网,http://weibo.com/u/3250970554 VM610:5
新浪新手卡中心,http://weibo.com/sinaka VM610:5
环球娱乐百分百,http://weibo.com/u/2408975903 VM610:5
吸血鬼日记,http://weibo.com/cwtvds VM610:5
山东卫视,http://weibo.com/sdtv VM610:5
新浪视频,http://weibo.com/video VM610:5
湖南卫视,http://weibo.com/hntv VM610:5
中国新闻周刊,http://weibo.com/chinanewsweek VM610:5
手机门户网,http://weibo.com/639240125 VM610:5
CCTV音乐,http://weibo.com/cctv15music VM610:5
头条博客,http://weibo.com/blogkefu VM610:5
快乐大本营,http://weibo.com/hntvhappy VM610:5
新浪体育,http://weibo.com/sportschannel VM610:5
畅游天下旅游网,http://weibo.com/u/3310679915 VM610:5
中国之声,http://weibo.com/cnrzgzs VM610:5
南方都市报,http://weibo.com/nddaily VM610:5
凤凰卫视,http://weibo.com/phoenixqbzh VM610:5
2014央视春节联欢晚会,http://weibo.com/u/3506728370 VM610:5
58同城,http://weibo.com/58tongcheng VM610:5
热门影视音乐,http://weibo.com/u/2761027244 VM610:5
央视财经,http://weibo.com/cctvcaijing VM610:5
米娜,http://weibo.com/minapie VM610:5
精品购物指南,http://weibo.com/lifestyle2009 VM610:5
安卓网,http://weibo.com/hiapkbbs VM610:5
爱奇艺,http://weibo.com/qiyiguanbo VM610:5
新京报,http://weibo.com/xjb VM610:5
南方周末,http://weibo.com/infzm 
PC电脑网,http://weibo.com/631789154 VM631:5
新浪读书,http://weibo.com/sinabook VM631:5
糗事百科,http://weibo.com/qiushibaike VM631:5
CCTV电视剧,http://weibo.com/cctvdrama VM631:5
爸爸去哪儿,http://weibo.com/babaqunaer VM631:5
无微不至,http://weibo.com/wuweibuzhi VM631:5
Vista看天下,http://weibo.com/vistastory VM631:5
英国英剧电影,http://weibo.com/uktvb VM631:5
广州日报,http://weibo.com/gzdaily VM631:5
安徽卫视,http://weibo.com/ahtv01 VM631:5
新快报,http://weibo.com/gdxkb VM631:5
好莱坞电影网,http://weibo.com/u/2857630570 VM631:5
浙江卫视中国蓝,http://weibo.com/ztv1 VM631:5
北京卫视,http://weibo.com/btvbeijing VM631:5
非诚勿扰,http://weibo.com/jswsfcwr VM631:5
新华网,http://weibo.com/newsxh VM631:5
南都周刊,http://weibo.com/nbweekly VM631:5
江苏卫视,http://weibo.com/jsbcjstv VM631:5
天气预报,http://weibo.com/weather VM631:5
法新社,http://weibo.com/afpinternationalnews VM631:5
优酷,http://weibo.com/youku VM631:5
2013快乐男声,http://weibo.com/klns VM631:5
四川卫视,http://weibo.com/u/2042019413 VM631:5
环球资讯广播,http://weibo.com/crinews VM631:5
广州恒大足球俱乐部,http://weibo.com/gzevergrandefc VM631:5
乐视网,http://weibo.com/leshiwang VM631:5
美女风尚,http://weibo.com/sinabeauty VM631:5
CCTV证券资讯博览,http://weibo.com/cctvzqt VM631:5
新浪女性,http://weibo.com/eladiesblog VM631:5
暴走漫画,http://weibo.com/baozoumanhua VM631:5
山东鲁能,http://weibo.com/u/1911180293 VM631:5
时尚芭莎,http://weibo.com/bazaarchina VM631:5
钱江晚报,http://weibo.com/qjwb VM631:5
大河报,http://weibo.com/dahebao VM631:5
天极网华南,http://weibo.com/szyesky VM631:5
河北经视我为购物狂,http://weibo.com/hebtv VM631:5
中国新闻网,http://weibo.com/chinanewsv VM631:5
天津泰达官方微博,http://weibo.com/tedafc VM631:5
時間藝術,http://weibo.com/u/2721265092 VM631:5
经济之声,http://weibo.com/cnr2 VM631:5
CCTV1梦想星搭档,http://weibo.com/u/2175582565 VM631:5
中国企业家杂志,http://weibo.com/cne VM631:5
中国国家地理,http://weibo.com/cng VM631:5
楚天都市报,http://weibo.com/ctdsw VM631:5
南方人物周刊,http://weibo.com/southernpeopleweekly VM631:5
安徽卫视剧乐部,http://weibo.com/ahtv520 VM631:5
揭露地球,http://weibo.com/canking VM631:5
猫扑,http://weibo.com/moptt VM631:5
中国网络电视台,http://weibo.com/cntv VM631:5
第一财经周刊,http://weibo.com/cbnweekly 
