南京林业大学青春健康教育,http://weibo.com/aigaogong2 VM1126:5
北京电影学院,http://weibo.com/u/1875379117 VM1126:5
哈尔滨工程大学,http://weibo.com/u/1865804041 VM1126:5
清华大学微博协会,http://weibo.com/weiboxiehui VM1126:5
耶鲁大学,http://weibo.com/yaleuniversity VM1126:5
复旦大学,http://weibo.com/ifudan VM1126:5
武汉大学,http://weibo.com/wuhandaxue VM1126:5
清华大学,http://weibo.com/tsinghua100 VM1126:5
作业答案来了,http://weibo.com/answercome VM1126:5
中央美术学院,http://weibo.com/cafapressroom VM1126:5
雅思中国网,http://weibo.com/ieltschn VM1126:5
华中科技大学,http://weibo.com/husters VM1126:5
纽约州立宾汉姆顿大学,http://weibo.com/sunybinghamton VM1126:5
深大互联,http://weibo.com/u/2815403104 VM1126:5
四川美术学院,http://weibo.com/scfaiedu VM1126:5
厦门大学,http://weibo.com/xmunews VM1126:5
京佳教育,http://weibo.com/jingjiaorg VM1126:5
中山大学,http://weibo.com/u/1892723783 VM1126:5
北京王府学校,http://weibo.com/u/2027748881 VM1126:5
北京华夏管理学院,http://weibo.com/beijinghuaxia VM1126:5
集美大学理学院就业会,http://weibo.com/lxyjyh VM1126:5
清华大学经济管理学院,http://weibo.com/tsinghuasem VM1126:5
砀山二中,http://weibo.com/dsez VM1126:5
亚东幼儿园,http://weibo.com/u/3202452413 VM1126:5
河南大学,http://weibo.com/henanuniversity VM1126:5
南开大学,http://weibo.com/nankaiuni VM1126:5
潮汕学院创业学院,http://weibo.com/csxycyy VM1126:5
香港大学官方微博,http://weibo.com/hongkongu VM1126:5
重庆大学,http://weibo.com/cqdx VM1126:5
浙江大学,http://weibo.com/u/1851755225 VM1126:5
天津大学,http://weibo.com/tianjinuniversity VM1126:5
合肥师范学院学生会,http://weibo.com/hftcxsh VM1126:5
湖南信息职业技术学院,http://weibo.com/hnxxzyxy VM1126:5
同济大学,http://weibo.com/tongjiuniversity VM1126:5
香港教育学院教育及人类发展学院,http://weibo.com/hkiedfehd VM1126:5
山东大学,http://weibo.com/1901sdu VM1126:5
俄罗斯人民友谊大学,http://weibo.com/rudn VM1126:5
华南农业大学自考招生,http://weibo.com/604954568 VM1126:5
国家哲学社会科学学术期刊数据库,http://weibo.com/nssdorg VM1126:5
华东师范大学,http://weibo.com/ecnu VM1126:5
清华领导力中心,http://weibo.com/thucldr VM1126:5
北京师范大学,http://weibo.com/lovebnu VM1126:5
北京大学人工智能实验室,http://weibo.com/pkuai VM1126:5
中央音乐学院继续教育学院,http://weibo.com/u/2486920647 VM1126:5
魔奇英语_劲松学校,http://weibo.com/u/2642747533 VM1126:5
惠经校友会,http://weibo.com/hzcollege VM1126:5
北京-都柏林国际学院,http://weibo.com/BDIC VM1126:5
学生创业中心SEC,http://weibo.com/siftsec VM1126:5
锦鲤大王,http://weibo.com/u/3641513235 VM1126:5
南京大学本科招生,http://weibo.com/111859680 
四川省峨眉派茶艺学校,http://weibo.com/u/1246992387 VM1144:5
人大重阳,http://weibo.com/cifs VM1144:5
上海外国语大学,http://weibo.com/shisu1949 VM1144:5
北京市古城高级中学,http://weibo.com/bjgucheng VM1144:5
泸州天星影视艺术学院,http://weibo.com/333287388 VM1144:5
广州市华美中加国际高中,http://weibo.com/hbic VM1144:5
复旦大学管理学院,http://weibo.com/fudanguanyuan VM1144:5
暨南大学,http://weibo.com/jnunews VM1144:5
新东方国际高中,http://weibo.com/bjguogao VM1144:5
湖南大学,http://weibo.com/hunanuniversity VM1144:5
中南du百科,http://weibo.com/zhongnandubaike VM1144:5
东南大学,http://weibo.com/seunews VM1144:5
浙大EDP,http://weibo.com/zdedp VM1144:5
贺冰新学校官方微博,http://weibo.com/hebingxinxuexiao VM1144:5
北外网院,http://weibo.com/beiwaionline VM1144:5
哈尔滨工业大学,http://weibo.com/1920hit VM1144:5
宜宾县一中,http://weibo.com/ybxyz VM1144:5
甘肃政法学院校园青年,http://weibo.com/u/1591562130 VM1144:5
福建工程学院思达特创业协会,http://weibo.com/u/1338485164 VM1144:5
河南大学微校园,http://weibo.com/thenu VM1144:5
哈工程毕业季官方微博,http://weibo.com/hrbeubiyeji VM1144:5
JCU新加坡校区,http://weibo.com/jcus VM1144:5
南村中学微博,http://weibo.com/210124709 VM1144:5
新型城镇化研究中心,http://weibo.com/nucuc VM1144:5
爱之翼西部公益教育团队,http://weibo.com/aizhiyiuestc VM1144:5
南林材料院职协,http://weibo.com/njlymzx VM1144:5
安徽校园,http://weibo.com/anhuixiaoyuan VM1144:5
闽江学院爱恩国际学院官方微博,http://weibo.com/u/2302735074 VM1144:5
云南外国语学校,http://weibo.com/yflscn VM1144:5
北京吉利大学艺术学院,http://weibo.com/u/1781460245 VM1144:5
中南财经政法大学,http://weibo.com/zuel VM1144:5
北京大学招生办,http://weibo.com/pkuadmission VM1144:5
厦门工学院记者团,http://weibo.com/xithqujzt VM1144:5
金斯顿大学,http://weibo.com/kingstonlondon VM1144:5
清华大学研究生会,http://weibo.com/thugu VM1144:5
北京外国语大学,http://weibo.com/bfsuni VM1144:5
大连艺术学院,http://weibo.com/dalianartcollege VM1144:5
上海交通大学研究生会,http://weibo.com/gusjtu VM1144:5
赣州校园,http://weibo.com/ganzhouxiaoyuan VM1144:5
河南农业大学艺术团,http://weibo.com/henauyishutuan VM1144:5
中国人民大学研究生会,http://weibo.com/rucyanhui VM1144:5
华侨大学,http://weibo.com/hqunews VM1144:5
武汉理工大学,http://weibo.com/whut2010 VM1144:5
重庆青年职业技术学院招生就业处,http://weibo.com/u/2883950410 VM1144:5
南京林业大学,http://weibo.com/nfuedu VM1144:5
中国文化产业杂志,http://weibo.com/ccicuc VM1144:5
中国农业大学MBA,http://weibo.com/caumba VM1144:5
上饶校园,http://weibo.com/srxiaoyuan VM1144:5
山东大学连心支教团,http://weibo.com/sdulianxin VM1144:5
网络孔子学院online,http://weibo.com/chinesecio 
