平安北京,http://weibo.com/pinganbeijing VM837:5
公安部打四黑除四害,http://weibo.com/dshcsh VM837:5
外交小灵通,http://weibo.com/wjxlt VM837:5
成都发布,http://weibo.com/xwfbc VM837:5
联合国,http://weibo.com/un VM837:5
平安南粤,http://weibo.com/gdga VM837:5
安徽公安在线,http://weibo.com/ahpolice VM837:5
上海地铁shmetro,http://weibo.com/shmetro VM837:5
中国旅游,http://weibo.com/cnta VM837:5
平安中原,http://weibo.com/hnsgat VM837:5
四川发布,http://weibo.com/sichuantianfu VM837:5
中国地震台网速报,http://weibo.com/ceic VM837:5
北京发布,http://weibo.com/bjfbt VM837:5
中国国际救援队,http://weibo.com/zggjjyd VM837:5
中国维和警察,http://weibo.com/zgwhjc VM837:5
广州公安,http://weibo.com/gzjd VM837:5
平安荆楚,http://weibo.com/hbpajc VM837:5
商务微新闻,http://weibo.com/mofcom VM837:5
微言教育,http://weibo.com/jybxwb VM837:5
北京消防,http://weibo.com/beijingxiaofang VM837:5
微博云南,http://weibo.com/yunnan VM837:5
上海发布,http://weibo.com/shanghaicity VM837:5
上海铁警发布,http://weibo.com/stpolice VM837:5
警民携手同行,http://weibo.com/gabxcj VM837:5
豫法阳光,http://weibo.com/u/2443744521 VM837:5
中国青年志愿者,http://weibo.com/540000 VM837:5
新疆发布,http://weibo.com/xjfb VM837:5
河北公安网络发言人,http://weibo.com/gongan VM837:5
首都健康,http://weibo.com/beijingshiweishengju VM837:5
青岛市旅游局官方微博,http://weibo.com/qdslyj VM837:5
全国卫生12320,http://weibo.com/u/2647566747 VM837:5
中国政府网,http://weibo.com/zhengfu VM837:5
警民直通车-上海,http://weibo.com/shanghaipolice VM837:5
平安宁夏,http://weibo.com/nxgat VM837:5
善行河北,http://weibo.com/shanxinghebei VM837:5
广西旅游局,http://weibo.com/gx12301 VM837:5
中国结核病防治,http://weibo.com/chinatb VM837:5
南昌铁路,http://weibo.com/nctl VM837:5
最高人民法院,http://weibo.com/zuigaofa VM837:5
中国食品药品监管,http://weibo.com/u/1335661387 VM837:5
微博甘肃,http://weibo.com/gansuwaixuanban VM837:5
山东公安,http://weibo.com/sdgongan VM837:5
鼓楼微讯,http://weibo.com/njxgwx VM837:5
平安太原,http://weibo.com/tyga VM837:5
青岛发布,http://weibo.com/qdfb VM837:5
中国广州发布,http://weibo.com/guangzhoufabu VM837:5
山西公安,http://weibo.com/sxga VM837:5
微博银川,http://weibo.com/yinchuan VM837:5
甘肃省卫生计生委,http://weibo.com/gswst VM837:5
南京发布,http://weibo.com/njfb 
广东发布,http://weibo.com/guangdongfabu VM842:5
雷锋纪念馆,http://weibo.com/leifeng VM842:5
平安辽宁,http://weibo.com/liaoninggongan VM842:5
闽姐姐,http://weibo.com/u/2568031104 VM842:5
微博江苏,http://weibo.com/weibojiangsu VM842:5
郑州铁路局,http://weibo.com/zztlj VM842:5
甘肃发布,http://weibo.com/u/1937187173 VM842:5
石家庄公安网络发言人,http://weibo.com/sjzga VM842:5
虎门服装,http://weibo.com/hmjmb VM842:5
平安江苏,http://weibo.com/ywy20020413 VM842:5
深圳公安,http://weibo.com/szga VM842:5
北京铁路,http://weibo.com/u/1916657595 VM842:5
河北省旅游局,http://weibo.com/visithebei VM842:5
山东省旅游局官方微博,http://weibo.com/friendlyshandong VM842:5
山东省公安厅交警总队,http://weibo.com/u/1943128881 VM842:5
平安哈尔滨,http://weibo.com/harbinpolice VM842:5
泉州公安,http://weibo.com/qzgaj VM842:5
V游福建,http://weibo.com/fjppjqyxzx VM842:5
甘肃公安,http://weibo.com/gssgat VM842:5
河北发布,http://weibo.com/u/2698146894 VM842:5
沈阳市公安局,http://weibo.com/u/1819621657 VM842:5
江苏环保,http://weibo.com/u/2729070152 VM842:5
国家林业局,http://weibo.com/u/2749447053 VM842:5
平安肇庆,http://weibo.com/gdzqga VM842:5
直通阿非利加,http://weibo.com/MFAChinaAfrica VM842:5
平安洛阳,http://weibo.com/u/2043228245 VM842:5
交通北京,http://weibo.com/bjsjtw VM842:5
中欧信使,http://weibo.com/wjbozs VM842:5
北海发布,http://weibo.com/u/2177412401 VM842:5
2014仁川亚运会组委会,http://weibo.com/2014agincheon VM842:5
福州市旅游局,http://weibo.com/u/2171536211 VM842:5
龙岩公安博警在线,http://weibo.com/u/1902504900 VM842:5
沈阳发布,http://weibo.com/syfbt VM842:5
共青团12355,http://weibo.com/12355gqt VM842:5
北京地税,http://weibo.com/beijingdishui VM842:5
平安银川,http://weibo.com/payc VM842:5
全国打黑办,http://weibo.com/u/2371577537 VM842:5
微博河北,http://weibo.com/weibohebei VM842:5
证监会发布,http://weibo.com/csrcfabu VM842:5
莞香花开,http://weibo.com/guanxianghuakai VM842:5
山东共青团,http://weibo.com/sdgqt VM842:5
合肥110,http://weibo.com/hf110 VM842:5
千岛湖旅游,http://weibo.com/qdhlyj VM842:5
北京经信委,http://weibo.com/bjeit VM842:5
老戴服务站007,http://weibo.com/jcdse VM842:5
上铁资讯,http://weibo.com/shrailadm VM842:5
精彩河南,http://weibo.com/u/3655703714 VM842:5
鞍山发布,http://weibo.com/asfb VM842:5
宁夏发布,http://weibo.com/nxfb VM842:5
福建发改委,http://weibo.com/fjdrc 
